Event	ID	Name			Wwise Object Path	Notes
	98439365	Play_PLAYER_Footsteps			\Default Work Unit\PLAYER\Play_PLAYER_Footsteps	
	740518234	Play_UI_Menu_button_pressed			\Default Work Unit\UI\Play_UI_Menu_button_pressed	
	872933623	Play_ENEMY_Aggro_Close_Attack			\Default Work Unit\ENEMY\Play_ENEMY_Aggro_Close_Attack	
	1042134263	Play_PLAYER_Human_Breaths			\Default Work Unit\PLAYER\Play_PLAYER_Human_Breaths	
	1508763586	Play_ENEMY_Random_Snores_No_Limitation			\Default Work Unit\ENEMY\Play_ENEMY_Random_Snores_No_Limitation	
	1883557774	Play_UI_Menu_button_hover			\Default Work Unit\UI\Play_UI_Menu_button_hover	
	2640841182	Play_PLAYER_CBT_wrong_btn			\Default Work Unit\PLAYER\Play_PLAYER_CBT_wrong_btn	
	2734126450	Play_ENEMY_CBT_damage			\Default Work Unit\ENEMY\Play_ENEMY_CBT_damage	
	2877007734	Play_ENVIRO_Combat_Timer_End_Pattern_Switch			\Default Work Unit\ENVIRO\Play_ENVIRO_Combat_Timer_End_Pattern_Switch	
	2932040671	Play_MUSIC			\Default Work Unit\MUSIC\Play_MUSIC	

State Group	ID	Name			Wwise Object Path	Notes
	2012657067	New_State_Group			\Default Work Unit\New_State_Group	

State	ID	Name	State Group			Notes
	748895195	None	New_State_Group			
	2582085496	Exploration	New_State_Group			
	2607556080	Menu	New_State_Group			
	2764240573	Combat	New_State_Group			

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	23657185	sfx_ENEMY_pig_snors_03	.cache\91\{9188DD9E-D54D-BCB3-836D-6869A7493917}.wem		\Containers\Default Work Unit\ENEMY\ENEMY_Aggro_Close_Attack\sfx_ENEMY_pig_snors_03		44078
	67548941	swinehide_breath_05	.cache\1C\{1C4105C7-A4A1-4B8A-85EC-593247BEEA01}.wem		\Containers\Default Work Unit\PLAYER\PLAYER_Human_Breaths\swinehide_breath_05		81316
	71647149	swinehide_footstep_05	.cache\7F\{7F331FCE-8D71-D718-3DB0-DB83352803CE}.wem		\Containers\Default Work Unit\PLAYER\PLAYER_Footsteps\swinehide_footstep_05		44150
	93020165	swinehide_breath_08	.cache\2C\{2C4AC2B0-B192-C3A7-F72B-D429A6299E3A}.wem		\Containers\Default Work Unit\PLAYER\PLAYER_Human_Breaths\swinehide_breath_08		114902
	95524846	swinehide_footstep_08	.cache\ED\{EDB0F124-FDB0-52BB-15AE-0EEC89D7C0E0}.wem		\Containers\Default Work Unit\PLAYER\PLAYER_Footsteps\swinehide_footstep_08		24038
	98277470	swinehide_footstep_02	.cache\BC\{BC205B72-A801-253B-9843-46F68F4ACAF3}.wem		\Containers\Default Work Unit\PLAYER\PLAYER_Footsteps\swinehide_footstep_02		20594
	160527622	UI_Menu_button_hover_03	.cache\22\{220E8B24-E19B-E255-1CB7-30B868E56A81}.wem		\Containers\Default Work Unit\UI_HUD\UI_Menu_button_hover\UI_Menu_button_hover_03		13454
	162729289	pig_deamage_01	.cache\E4\{E49AA042-2D4B-A114-278C-2AB4A4DDD89B}.wem		\Containers\Default Work Unit\ENEMY\ENEMY_CBT_damage\pig_deamage_01		77420
	201403007	swinehide_breath_03	.cache\0A\{0A2BA966-EC2B-F6D1-E9F7-F9CFF0FEA500}.wem		\Containers\Default Work Unit\PLAYER\PLAYER_Human_Breaths\swinehide_breath_03		100204
	253275350	Fight	.cache\92\{922F2BAF-075C-D139-A8A7-69055F43D191}.wem		\Containers\Default Work Unit\MUSIC\MUSIC_Combat\MSC_Combat\Fight		3880896
